date,respondent,respondent-name,type,type-name,timezone,timezone-description,value_energy,value-units,datatype,station,attributes,value_weather
2023-03-31 00:00:00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1109186,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FLA,Florida,D,Demand,Pacific,Pacific,668769,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Arizona,Arizona,48041,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Central,Central,47795,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Eastern,Eastern,47647,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Mountain,Mountain,47932,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FMPP,Florida Municipal Power Pool,D,Demand,Pacific,Pacific,48041,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Arizona,Arizona,142179,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Central,Central,141502,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Eastern,Eastern,141073,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Mountain,Mountain,141885,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USC00284987,",,H,0630",83
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USC00301309,",,H,0700",61
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USC00308577,",,H,0800",72
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00014732,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00014734,",,W,2400",133
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00054743,",,W,",122
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00054787,",,W,",111
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00094728,",,W,2400",139
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00094741,",,W,",117
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00094745,",,W,2400",100
2023-03-31 00:00:00,FPC,"Duke Energy Florida, Inc.",D,Demand,Pacific,Pacific,142179,megawatthours,TMAX,GHCND:USW00094789,",,W,2400",117
2023-03-31 00:00:00,FPL,Florida Power & Light Co.,D,Demand,Arizona,Arizona,370245,megawatthours,TMAX,GHCND:USC00280907,",,H,0700",67
2023-03-31 00:00:00,FPL,Florida Power & Light Co.,D,Demand,Arizona,Arizona,370245,megawatthours,TMAX,GHCND:USC00281335,",,H,0700",83
2023-03-31 00:00:00,FPL,Florida Power & Light Co.,D,Demand,Arizona,Arizona,370245,megawatthours,TMAX,GHCND:USC00283704,",,H,0700",61
